"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments"
"8F_7Jun18","2018-06-07","2018-07-13",NA,NA,36,NA,0,"8F",41.45361,-122.10503,"Mule Deer","Adult/Doe","58","WB, NV","Brewer Creek TH","No sign of 8F, but bear had taken over carcass before deployment."
"8F_9Mar18","2018-03-09","2018-04-01",NA,NA,23,NA,0,"8F",41.69937,-121.98071,"Mule Deer","Adult/Buck","51","BC, RL","N of Orr","Potential SD card malfunction"
"9F_14Mar19","2019-03-14","2019-04-09","2019-03-14 14:38:28","2019-04-04 16:15:19",26,21.0672569444444,513,"9F",41.69566,-121.90418,"Mule Deer","Fawn/Female","51","JK, HB","Cedar Mt","9F heard of omni after setting the camera, likely close"
"9F_17Apr19","2019-04-17","2019-06-03","2019-04-17 12:56:47","2019-04-22 20:27:11",47,5.31277777777778,1356,"9F",41.72965,-121.90544,"Mule Deer","Adult/Doe","64","JK, SS","Cedar Mt","9F heard on omni before site visit, but not after. "
"9F_18Dec18","2018-12-18","2019-01-11","2018-12-18 12:19:34","2019-01-04 10:36:41",24,16.9285532407407,267,"9F",41.71793,-121.73331,"Mule deer","Adult/Buck","","JH, EW","Three sisters","9F was heard on the reciever when we parked, did not see her and did not hear her on the reciever when we left"
"9F_19Mar18","2018-03-19","2018-04-09","2018-03-19 10:36:27","2018-04-09 12:07:14",21,21.1047106481481,740,"9F",41.7156,-121.89013,"Mule Deer","Adult/Buck","52","RL, EL","Cedar mtn","No sign of 9F when approaching. Tracks from night before"
"9F_1Sep18","2018-09-01","2018-10-13","2018-09-01 16:03:27","2018-09-22 18:47:33",41,21.1139583333333,895,"9F",41.76899,-122.11115,"Mule Deer","Fawn/Male","57 (Box 59)","WB, BC","Ball Mt","No sign of 9F"
"9F_22May18","2018-05-22","2018-06-15",NA,NA,24,NA,0,"9F",41.711,-121.1891,"Mule Deer","Yearling/Buck","55","BC, JH","Cedar Mountain","No sign of 9F"
"9F_23Aug18","2018-08-23","2018-09-17","2018-08-23 10:18:39","2018-09-13 09:51:44",25,20.9813078703704,555,"9F",41.7519,-122.16244,"Mule deer","Adult/doe","","JH, JK","Fox Flat","No sign of 9F on approach, camera is screwed to tree!"
"9F_29Jan19","2019-01-29","2019-03-27","2019-01-29 12:18:20","2019-02-16 21:44:48",57,18.3933796296296,426,"9F",41.73348,-121.7724,"Mule Deer","Adult/Doe","60","WB, JH","Sharp Mountain","No sign of 9F"
"9F_2May18","2018-05-02","2018-05-30",NA,NA,28,NA,0,"9F",41.71085,-121.88557,"Mule deer","Adult/Doe","55","WB, EW","Cedar Mt","9F not on carcass"
"9F_3Apr19","2019-04-03","2019-04-30","2019-04-03 11:38:00","2019-04-22 08:34:02",27,18.913912037037,291,"9F",41.69084,-121.96023,"Mule Deer","Adult/Doe","58","JH, HS","Kegg","9F not seen or heard upon approach"
"9F_4Apr18","2018-04-04","2018-04-26","2018-04-04 15:52:04","2018-04-25 08:14:28",22,20.6822222222222,958,"9F",41.7399,-121.91327,"Mule deer","Fawn/Female","55","RL, BC","North of Cedar",""
"9F_7Dec18","2018-12-07","2019-01-10","2018-12-07 15:11:29","2018-12-28 22:03:50",34,21.2863541666667,1235,"9F",41.72003,-121.77759,"Mule deer","Adult/doe","58","JH, JK","Sharp Mountain","no sign of 9F"
"9F_9Jul18","2018-07-09","2018-08-12","2018-07-09 12:21:57","2018-07-29 01:47:51",34,19.5596527777778,140,"9F",41.7448,-122.13079,"Mule Deer","Fawn/Unknown","54","JK, BC","Fox Flat","No sign of 9F"
