"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m)","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts"
"7M_23Nov18","2018-11-23","2019-01-07","2018-11-23 16:54:45","2018-12-12 18:20:48",45,19.0597569444444,408,"7M",41.61287,-121.73378,"Mule Deer","Adult/Buck","53","WB, guest","Garner Mt","A bit of snow there showed 7M's tracks leaving cache site, and his beacon was bumping when we parked the truck, so we likely bumped him off the carcass.",7,0,FALSE,FALSE,TRUE,TRUE,TRUE,514.686,0,19.7956153846154,0,22.1933055763704,0,8.5781,0,0,0,0,0,0,0,59,12,42,1,9,2,0,59
"7M_24Apr18","2018-04-24","2018-05-17","2018-04-24 14:17:57","2018-05-15 23:35:10",23,21.3869560185185,201,"7M",41.74989,-121.70531,"Mule Deer","Adult/Buck","59","WB, EL","Bonita Butte","Bumped 7M upon approach. First saw him trotting away from us at ~55m. He was likely sitting very close to the carcass.",8,0,FALSE,FALSE,TRUE,TRUE,TRUE,0.993,0,0.993,0,NA,0,0.01655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7M_24May18","2018-05-24","2018-06-16","2018-05-24 13:04:50","2018-06-14 23:29:11",23,21.4335763888889,1767,"7M",41.66157,-121.67216,"Mule Deer","Adult/Doe","59","WB, EW","Hill 23","Heard 7M on receiver before we approached but did not see him",8,0,FALSE,TRUE,FALSE,TRUE,TRUE,3154.86,0,28.1683928571429,0,20.371553120638,0,52.581,0,0,0,0,0,0,0,232,230,53,0,33,1,1,232
"7M_25Aug18","2018-08-25","2018-09-17","2018-08-25 14:50:20","2018-09-12 10:46:42",23,17.8308101851852,1399,"7M",41.59615,-121.7589,"Mule deer","Adult/doe","56","JH, BC","Tamarack Flat","No sign of 7M on approach, camera is screwed to log",8,0,FALSE,FALSE,FALSE,FALSE,TRUE,5502.704,0,45.4768925619835,0,60.4141904971839,0,91.7117333333333,0,0,0,0,0,0,0,47,0,2,0,0,0,0,47
"7M_29Apr18","2018-04-29","2018-05-24",NA,NA,25,NA,0,"7M",41.66167,-121.70919,"Mule Deer","Adult/Doe","54","RL, EL","E of Hill 22","Heard 7M on receiver before we approached but did not see him",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7M_29Sep18","2018-09-29","2019-07-22","2018-09-29 10:20:13","2018-10-20 13:45:49",296,21.1011111111111,492,"7M",41.60998,-121.6722,"Mule Deer","Fawn/Female","57","JH, WB","Little Mt. Hoffman ","No sign of 7M but did hear his collar on the reciever from the road. Slope 20%. Canopy cover 36.75. Aspect 256. Conifer mix, fir and pine. Shrubs mostly just seedlings, some gooseberry and ceanothus. Road used for nearest edge 160m. Nearest open 15m. Nearest hiding 2m. Camera still active. No kill site found all veg from cache site. No additional samples collected. No scavenger sign observed. 76-100% consumption. ",11,0,FALSE,TRUE,TRUE,FALSE,TRUE,84.349,0,14.0581666666667,0,9.50734666280065,0,1.40581666666667,0,0,0,0,0,0,0,8,0,4,0,0,0,0,8
"7M_5Jul18","2018-07-05","2018-09-04","2018-07-05 16:15:52","2018-07-26 19:34:08",61,21.1376851851852,842,"7M",41.54074,-121.769,"Mule Deer","Adult/Doe","60","WB, TS","Red Cap Mt","No sign of 7M ",10,0,FALSE,TRUE,TRUE,FALSE,TRUE,511.61,0,63.95125,0,72.1930003467887,0,8.52683333333333,0,0,0,0,0,0,0,9,6,4,0,9,0,0,9
"7M_8Aug18","2018-08-08","2018-09-04","2018-08-08 12:11:44","2018-08-29 22:19:42",27,21.4221990740741,2370,"7M",41.57119,-121.65154,"Mule deer","Adult/Buck","57 (Box 59)","JK, BC","Little Mount Hoffman ","No sign of 7M on approach",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,14.566,0,7.283,0,8.17274017695412,0,0.242766666666667,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
"7M_9Oct18","2018-10-09","2018-12-20","2018-10-09 13:20:39","2018-10-28 22:08:26",72,19.3665162037037,343,"7M",41.552,-121.816,"Mule Deer","Adult/Female","55","EW, JH","Typhoon Mesa","",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,767.694,0,16.689,0,11.9801540780298,0,12.7949,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26
"8F_14Dec18","2018-12-14","2019-01-09","2018-12-20 10:08:54","2018-12-19 16:28:18",26,-0.736527777777778,1824,"8F",41.61138,-121.82216,"Mule deer","Adult/Doe","60","JH, JK","N Garner Mountain ","Bumped a cat on approach, not sure if 8F or a kitten; 8F heard on receiver from the truck",11,2,FALSE,FALSE,TRUE,TRUE,TRUE,3198.916,9292.206,59.2391851851852,59.186025477707,71.5627465019926,105.03180784843,208.185366666667,113,71,2,28,18,1,2,30,0,1,21,0,0,0,143
